Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Home_Goals_Against_Per_Game,Home_Shots_Against_Per_Game,Home_SOT_Against_Per_Game,Home_Corners_Against_Per_Game,Home_Fouls_Against_Per_Game,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Goals_Against_Per_Game,Away_Shots_Against_Per_Game,Away_SOT_Against_Per_Game,Away_Corners_Against_Per_Game,Away_Fouls_Against_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Match_Result
-1,-2,-1,15,13,1.32,12.55,6.36,5.0,13.64,0,6,2.0,15.45,9.18,7.73,11.82,-1,-3,1,10,7,1.12,10.96,5.88,4.96,11.04,1.17,11.12,5.54,5.79,12.12,0,0,0,0,0,0,0
-3,-4,-4,19,21,1.0,9.96,5.65,4.87,11.04,0,3,2.0,14.83,8.61,5.48,11.83,0,0,0,18,9,1.26,12.0,6.83,4.83,12.57,1.65,15.52,8.7,7.39,13.26,0,1,-1,-1,1,1,1
-1,-1,0,17,17,0.96,8.83,4.88,4.29,13.88,0,3,2.04,16.21,8.92,7.54,14.04,1,3,1,5,10,2.0,12.14,6.55,6.59,10.82,1.36,11.55,5.82,5.77,12.0,0,1,0,0,0,0,1
2,3,1,6,2,1.75,13.79,8.0,7.33,12.25,0,2,1.08,8.54,4.96,3.67,12.04,3,4,3,9,5,1.43,13.48,7.83,6.04,12.35,1.48,11.52,6.96,5.17,14.3,0,2,1,1,-1,-1,1
3,4,3,2,1,2.33,16.96,9.83,8.42,11.33,0,1,0.83,9.83,5.25,3.12,11.75,-2,-4,-2,20,14,0.83,13.13,7.0,5.3,14.17,1.57,11.83,6.3,7.04,11.83,0,4,1,1,-1,-1,1
1,-1,0,12,12,0.86,8.73,4.32,4.68,13.05,0,4,1.18,12.77,7.64,6.64,9.5,2,1,0,11,15,1.04,11.29,6.0,4.67,13.75,1.67,12.46,7.29,4.92,11.79,0,4,0,0,0,0,1
-2,-2,0,13,16,1.3,9.96,5.52,5.17,13.91,0,3,1.74,13.57,6.91,6.83,11.57,-1,-2,-2,16,11,1.09,13.32,7.09,4.32,12.86,2.14,13.77,7.73,6.27,12.59,0,1,-1,-1,1,1,0
0,1,0,5,8,1.88,15.92,9.29,5.83,11.33,0,3,1.04,12.21,6.67,4.92,13.12,1,-1,1,7,6,1.35,11.09,6.04,6.13,13.74,0.78,13.35,7.61,6.48,11.74,0,4,0,0,0,0,0
-1,0,0,8,21,0.96,9.35,5.52,4.57,9.7,0,4,1.0,16.26,8.61,7.35,13.13,-1,-3,0,18,21,0.83,10.26,5.78,5.52,12.52,1.74,12.7,7.65,5.13,11.17,0,0,1,1,-1,-1,1
2,4,0,2,3,2.42,19.83,10.92,8.54,10.92,0,4,0.83,7.88,4.0,4.25,12.25,0,1,-1,3,4,2.5,14.92,8.83,7.12,10.88,1.17,8.5,4.75,3.54,13.46,0,3,1,1,-1,-1,1
