AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,VCA,VCD,VCH,WHA,WHD,WHH
12,12,0,19,9,2,Arsenal,2.5,3.25,2.88,2.3,3.2,2.8,12/09/09,E0,2,4,H,3,13,0,10,6,0,1,H,3,Man City,2.5,3.2,2.7,M Clattenburg,2.4,3.2,2.9,2.4,3.3,2.9
5,17,0,14,6,0,Bolton,2.8,3.2,2.6,2.6,3.15,2.5,12/09/09,E0,3,2,A,7,17,0,21,11,2,1,A,2,Portsmouth,2.85,3.2,2.4,C Foy,2.7,3.2,2.5,2.88,3.2,2.5
14,11,0,18,10,3,Chelsea,1.4,4.5,9.0,1.4,4.0,7.25,12/09/09,E0,2,1,A,4,13,0,4,2,1,1,D,3,Stoke,1.4,4.3,7.5,M Dean,1.4,4.0,8.5,1.36,4.6,9.0
8,15,0,6,5,2,Hull,5.0,3.5,1.75,4.5,3.25,1.75,12/09/09,E0,1,4,H,7,18,0,7,4,1,1,D,2,Sunderland,4.3,3.4,1.8,M Atkinson,4.5,3.3,1.8,5.25,3.3,1.75
9,13,1,17,13,2,Man United,2.3,3.4,3.1,2.2,3.2,3.0,12/09/09,E0,3,1,A,3,16,0,11,7,2,1,A,3,Tottenham,2.35,3.1,3.0,A Marriner,2.25,3.3,3.0,2.3,3.3,3.1
7,11,0,12,5,1,West Ham,3.25,3.25,2.3,3.05,3.25,2.15,12/09/09,E0,0,1,H,6,13,0,12,6,0,0,D,2,Wigan,3.2,3.2,2.2,A Wiley,3.1,3.25,2.2,3.25,3.2,2.25
1,20,0,12,5,2,Aston Villa,2.25,3.25,3.4,2.2,3.2,3.0,13/09/09,E0,1,0,A,7,10,0,11,7,0,0,D,1,Birmingham,2.3,3.2,3.0,H Webb,2.25,3.2,3.1,2.2,3.2,3.4
3,10,0,6,6,0,Everton,2.8,3.2,2.6,2.7,3.15,2.4,13/09/09,E0,1,2,H,5,6,0,14,8,1,0,A,1,Fulham,2.85,3.2,2.4,P Walton,2.62,3.2,2.6,2.7,3.2,2.62
4,18,0,8,5,2,Wigan,13.0,5.5,1.25,10.0,5.0,1.25,19/09/09,E0,0,4,H,6,6,0,23,11,0,1,H,2,Arsenal,13.0,5.3,1.22,M Jones,10.0,5.5,1.25,15.0,5.5,1.22
5,12,0,17,12,0,Portsmouth,10.0,4.2,1.4,9.0,4.0,1.35,19/09/09,E0,0,2,H,7,17,0,7,5,0,2,H,2,Aston Villa,7.6,4.0,1.43,S Attwell,8.5,4.0,1.4,9.0,4.2,1.4
6,11,0,10,6,2,Stoke,3.75,3.25,2.1,3.5,3.15,2.0,19/09/09,E0,1,1,D,4,6,0,11,5,0,0,D,2,Bolton,3.4,3.25,2.1,M Clattenburg,3.4,3.2,2.1,3.75,3.25,2.05
4,15,0,8,5,3,Sunderland,2.5,3.25,2.88,2.4,3.2,2.7,19/09/09,E0,1,3,H,4,4,0,10,3,1,1,D,0,Burnley,2.65,3.2,2.55,C Foy,2.5,3.2,2.7,2.5,3.2,2.88
8,13,0,14,9,2,Birmingham,3.0,3.25,2.4,2.9,3.1,2.3,19/09/09,E0,1,0,A,10,15,0,16,11,0,0,D,0,Hull,3.0,3.2,2.3,P Dowd,2.9,3.2,2.4,3.0,3.25,2.38
4,17,0,19,15,3,Liverpool,1.53,4.0,6.5,1.45,3.95,6.25,19/09/09,E0,3,2,A,4,13,0,8,5,2,2,D,3,West Ham,1.55,3.7,6.0,A Marriner,1.53,3.6,6.5,1.53,3.8,6.5
3,9,0,9,4,2,Tottenham,7.0,4.0,1.5,7.0,4.05,1.4,20/09/09,E0,0,3,H,11,7,0,25,15,0,1,H,0,Chelsea,6.0,3.7,1.55,H Webb,6.5,3.6,1.5,7.5,4.2,1.44
2,18,0,7,4,2,Blackburn,5.0,3.3,1.8,5.0,3.4,1.65,20/09/09,E0,0,3,H,6,15,0,18,11,0,1,H,1,Everton,4.6,3.5,1.75,L Mason,4.33,3.25,1.83,4.6,3.4,1.8
1,14,0,10,6,2,Man City,6.0,4.0,1.57,5.1,3.55,1.6,20/09/09,E0,3,4,H,11,15,0,21,11,1,1,D,2,Man United,5.6,3.6,1.6,M Atkinson,5.5,3.6,1.6,5.5,3.75,1.62
3,11,0,3,1,1,Fulham,2.88,3.25,2.5,2.75,3.1,2.4,20/09/09,E0,1,2,H,3,14,0,12,4,0,1,H,1,Wolves,2.85,3.2,2.4,K Friend,2.7,3.2,2.5,2.88,3.2,2.5
4,17,0,10,4,1,Bolton,3.4,3.25,2.2,3.15,3.15,2.15,26/09/09,E0,2,1,A,8,9,0,12,6,1,0,A,2,Birmingham,3.4,3.25,2.1,S Bennett,3.2,3.2,2.1,3.25,3.3,2.2
5,11,0,10,5,3,Aston Villa,2.38,3.25,3.1,2.2,3.2,3.0,26/09/09,E0,1,2,H,6,14,1,15,7,1,1,D,2,Blackburn,2.4,3.2,2.85,M Clattenburg,2.2,3.25,2.9,2.25,3.3,3.1
6,11,0,14,4,0,Arsenal,1.53,4.0,6.5,1.5,3.85,5.65,26/09/09,E0,1,0,A,4,14,0,18,12,0,0,D,4,Fulham,1.55,3.7,6.0,M Atkinson,1.57,3.6,5.5,1.5,3.75,7.5
2,3,0,7,3,4,Hull,23.0,7.5,1.14,13.5,6.25,1.15,26/09/09,E0,1,6,H,13,10,0,22,14,1,2,H,1,Liverpool,15.0,6.5,1.15,P Walton,17.0,6.5,1.12,19.0,7.0,1.14
6,17,0,12,8,3,Everton,1.91,3.4,4.2,1.95,3.3,3.5,26/09/09,E0,1,0,A,5,14,0,16,12,1,0,A,0,Portsmouth,1.9,3.3,3.9,A Wiley,1.91,3.25,3.75,1.95,3.3,4.0
7,8,0,13,7,1,Man United,1.4,4.5,8.5,1.3,4.5,8.75,26/09/09,E0,2,0,A,2,9,0,2,1,0,0,D,1,Stoke,1.4,4.3,7.5,H Webb,1.4,4.0,7.5,1.36,4.5,9.0
7,14,0,10,7,1,Burnley,10.0,5.0,1.33,7.25,4.5,1.35,26/09/09,E0,0,5,H,2,10,0,18,12,0,2,H,1,Tottenham,8.5,4.5,1.35,M Dean,9.5,4.5,1.3,9.0,4.8,1.33
7,11,1,14,8,2,Chelsea,1.33,5.0,10.0,1.3,4.6,8.5,26/09/09,E0,1,3,H,4,11,0,15,9,0,1,H,1,Wigan,1.35,4.5,8.5,P Dowd,1.3,4.5,9.5,1.3,5.0,10.0
8,11,0,15,11,3,Wolves,5.0,3.6,1.73,4.6,3.35,1.7,27/09/09,E0,2,5,H,7,18,0,10,8,0,1,H,1,Sunderland,4.6,3.5,1.75,L Mason,5.0,3.4,1.67,5.0,3.6,1.7
5,14,0,12,8,1,West Ham,7.5,4.33,1.44,7.25,4.0,1.4,28/09/09,E0,1,3,H,11,18,0,20,12,1,2,H,1,Man City,7.0,4.0,1.45,C Foy,7.5,4.0,1.4,8.0,4.33,1.4
6,16,0,17,9,1,Tottenham,1.95,3.6,3.8,1.8,3.5,3.8,03/10/09,E0,2,2,D,5,15,0,12,9,1,1,D,2,Bolton,2.0,3.3,3.6,M Jones,1.91,3.4,3.75,1.91,3.4,4.0
4,11,0,10,6,3,Birmingham,3.2,3.25,2.3,3.0,3.2,2.2,03/10/09,E0,1,2,H,8,17,0,15,13,0,0,D,0,Burnley,2.9,3.3,2.3,K Friend,3.2,3.2,2.2,3.0,3.2,2.1
2,8,0,13,5,2,Wigan,2.5,3.3,2.88,2.45,3.25,2.6,03/10/09,E0,1,2,H,4,14,0,11,6,0,0,D,0,Hull,2.6,3.2,2.6,M Clattenburg,2.4,3.3,2.75,2.3,3.2,2.62
1,15,1,4,3,3,Sunderland,15.0,6.5,1.2,11.0,6.0,1.18,03/10/09,E0,2,2,D,14,11,0,17,9,1,0,A,2,Man United,15.0,6.0,1.17,A Wiley,11.0,6.0,1.2,12.0,5.5,1.17
6,12,0,12,8,2,Portsmouth,3.8,3.4,2.0,3.4,3.4,1.95,03/10/09,E0,1,0,A,8,8,0,11,5,1,0,A,1,Wolves,3.1,3.3,2.2,H Webb,3.25,3.25,2.1,3.4,3.25,1.91
1,10,0,7,7,1,Blackburn,15.0,6.5,1.2,11.0,6.05,1.18,04/10/09,E0,2,6,H,8,9,0,24,18,2,3,H,1,Arsenal,14.0,5.5,1.2,P Walton,11.0,6.0,1.2,11.0,5.0,1.2
8,17,0,12,3,1,Liverpool,3.6,3.3,2.1,3.25,3.25,2.05,04/10/09,E0,0,2,H,5,14,0,12,8,0,0,D,1,Chelsea,3.45,3.2,2.1,M Atkinson,3.25,3.1,2.2,3.1,3.1,2.1
4,15,0,8,6,3,Stoke,6.0,4.0,1.57,6.15,3.65,1.5,04/10/09,E0,1,1,D,11,5,0,24,17,0,0,D,1,Everton,6.5,3.9,1.5,A Marriner,5.5,3.5,1.57,5.5,3.5,1.53
4,9,1,10,6,2,Fulham,3.4,3.25,2.2,3.55,3.25,1.95,04/10/09,E0,2,2,D,8,12,0,20,10,0,1,H,3,West Ham,3.35,3.3,2.1,P Dowd,3.4,3.2,2.1,3.2,3.2,2.0
6,8,0,9,7,2,Man City,2.63,3.25,2.75,2.4,3.3,2.6,05/10/09,E0,1,1,D,6,10,0,12,6,0,1,H,1,Aston Villa,2.6,3.2,2.6,M Dean,2.6,3.2,2.6,2.62,3.3,2.62
3,16,0,3,2,2,Birmingham,19.0,7.0,1.17,15.0,6.5,1.16,17/10/09,E0,1,3,H,7,8,0,20,12,1,2,H,1,Arsenal,14.0,5.5,1.2,L Probert,15.0,6.0,1.14,17.0,7.0,1.17
9,13,0,21,13,1,Chelsea,1.8,3.6,4.5,1.8,3.55,4.1,17/10/09,E0,1,2,H,6,19,0,7,5,1,1,D,2,Aston Villa,1.85,3.4,4.0,K Friend,1.8,3.4,4.33,1.8,3.4,4.6
5,15,1,12,6,3,Wolves,6.5,4.2,1.44,7.65,4.2,1.4,17/10/09,E0,1,1,D,6,6,0,13,5,0,0,D,1,Everton,7.0,4.0,1.45,S Attwell,7.0,3.6,1.44,8.0,4.0,1.44
1,8,0,15,7,1,Bolton,13.0,5.5,1.2,13.0,5.75,1.2,17/10/09,E0,1,2,H,13,15,0,13,7,0,2,H,0,Man United,14.0,5.5,1.2,M Clattenburg,11.0,6.0,1.18,11.0,5.0,1.2
9,13,1,9,4,3,Tottenham,1.83,3.5,4.5,1.65,3.65,4.9,17/10/09,E0,2,1,A,10,14,1,23,13,2,0,A,3,Portsmouth,1.8,3.4,4.3,P Dowd,1.8,3.4,4.0,1.8,3.4,4.6
6,13,0,12,11,3,West Ham,3.6,3.3,2.1,3.3,3.2,2.15,17/10/09,E0,1,2,H,5,16,0,11,4,1,1,D,3,Stoke,3.4,3.25,2.1,M Atkinson,3.4,3.3,2.0,3.4,3.3,2.15
7,17,0,15,6,1,Liverpool,1.91,3.4,4.2,1.7,3.6,4.65,17/10/09,E0,0,1,H,1,20,0,13,7,0,1,H,2,Sunderland,1.75,3.5,4.6,M Jones,1.8,3.4,4.0,1.8,3.4,4.6
2,14,0,9,5,3,Burnley,5.0,3.6,1.73,4.5,3.45,1.75,18/10/09,E0,2,3,H,3,18,0,12,6,1,3,H,3,Blackburn,4.6,3.5,1.75,C Foy,4.5,3.5,1.75,5.0,3.4,1.75
6,11,1,5,4,1,Man City,1.73,3.6,5.0,1.65,3.6,5.0,18/10/09,E0,1,1,D,6,15,0,13,7,0,1,H,2,Wigan,1.75,3.5,4.6,A Wiley,1.7,3.4,4.5,1.73,3.5,5.0
4,15,0,5,2,1,Hull,5.5,3.6,1.67,5.0,3.65,1.65,19/10/09,E0,0,2,H,7,13,0,17,11,0,1,H,1,Fulham,4.9,3.5,1.7,A Marriner,4.5,3.4,1.67,5.5,3.75,1.62
8,14,0,14,6,1,Sunderland,2.5,3.25,2.9,2.3,3.3,2.9,24/10/09,E0,1,2,H,6,9,0,19,13,0,1,H,3,Birmingham,2.55,3.2,2.65,M Atkinson,2.4,3.2,2.88,2.5,3.3,2.8
4,11,0,13,8,0,Wigan,2.88,3.3,2.5,2.95,3.15,2.35,24/10/09,E0,3,1,A,7,12,0,12,9,1,1,D,2,Burnley,2.85,3.2,2.4,L Mason,2.8,3.25,2.4,2.9,3.3,2.4
0,10,0,5,2,1,Blackburn,15.0,6.5,1.2,12.0,6.0,1.2,24/10/09,E0,0,5,H,8,8,0,26,15,0,1,H,0,Chelsea,13.0,5.3,1.22,A Wiley,13.0,5.5,1.18,19.0,6.5,1.17
6,23,0,8,2,1,Portsmouth,2.8,3.2,2.6,2.7,3.25,2.5,24/10/09,E0,0,0,D,6,16,0,7,3,0,0,D,2,Hull,2.85,3.2,2.4,S Attwell,2.7,3.25,2.5,2.8,3.3,2.5
1,18,0,8,2,3,Stoke,7.5,4.33,1.44,7.75,3.85,1.45,24/10/09,E0,1,0,A,7,8,0,22,12,0,0,D,0,Tottenham,7.0,4.0,1.45,L Probert,7.0,3.75,1.44,8.0,4.0,1.44
3,16,0,12,8,2,Aston Villa,2.2,3.2,3.5,2.1,3.4,3.6,24/10/09,E0,1,1,D,8,10,0,8,4,0,0,D,1,Wolves,2.1,3.25,3.4,P Walton,2.1,3.2,3.4,2.15,3.3,3.4
4,15,0,17,12,1,Everton,2.75,3.25,2.63,2.55,3.3,2.8,25/10/09,E0,2,3,H,4,14,0,12,8,1,2,H,3,Bolton,2.6,3.2,2.6,P Dowd,2.5,3.2,2.5,2.5,3.3,2.8
1,11,1,7,5,3,Man United,2.4,3.25,3.0,2.55,3.3,2.85,25/10/09,E0,0,2,H,5,20,1,11,6,0,0,D,2,Liverpool,2.5,3.2,2.7,A Marriner,2.5,3.2,2.6,2.5,3.2,2.88
2,12,0,11,5,2,Fulham,8.0,4.2,1.44,7.25,4.0,1.45,25/10/09,E0,2,2,D,14,11,0,20,7,0,0,D,0,Man City,7.5,4.3,1.4,K Friend,7.0,3.75,1.44,8.0,4.0,1.44
8,15,0,15,10,2,Arsenal,1.5,4.2,7.0,1.5,4.0,7.5,25/10/09,E0,2,2,D,6,17,1,15,9,2,0,A,3,West Ham,1.45,4.0,7.0,C Foy,1.44,3.8,7.0,1.5,4.0,7.0
2,10,0,7,5,1,Tottenham,6.0,4.0,1.57,6.0,4.0,1.5,31/10/09,E0,0,3,H,6,10,0,18,12,0,2,H,1,Arsenal,5.6,3.6,1.6,M Clattenburg,5.5,3.75,1.57,6.0,3.8,1.57
