GameNumber,HomeTeam,AwayTeam,Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Home_Goals,Away_Goals,Match_Result
704,Newcastle,Cardiff,-1,-3,-2,14,12,0.77,14.23,5.31,4.31,12.77,0,2,1,0,1,17,21,0.57,11.07,3.5,5.29,8.64,0,2,1,1,-1,-1,3,0,1
705,Stoke,Fulham,0,1,1,8,17,1.36,9.5,3.43,4.07,13.57,0,1,1,-1,2,13,16,1.21,13.43,5.07,6.21,9.86,0,3,-1,0,1,0,4,1,1
706,Swansea,Southampton,-1,-1,-1,18,9,1.14,13.29,3.79,5.86,9.14,1,3,-1,-1,-2,8,14,1.33,14.0,4.27,5.27,11.0,0,0,-1,-1,1,1,0,1,-1
707,West Ham,Tottenham,-1,1,-2,14,5,1.25,11.25,3.08,5.42,9.58,0,5,0,2,0,3,2,1.56,16.0,5.62,6.31,10.25,0,2,1,1,-1,-1,2,0,1
708,Everton,Man City,3,3,3,6,8,1.08,14.58,3.92,6.33,9.75,0,2,0,2,1,5,4,2.36,17.82,5.18,7.91,10.09,0,4,0,0,0,0,2,3,-1
709,Arsenal,West Brom,-2,-2,-2,10,7,1.0,14.25,5.08,5.58,10.42,0,3,0,-1,0,16,13,1.07,11.79,3.93,4.64,10.86,0,4,2,3,-2,-3,1,0,1
710,Chelsea,Norwich,3,4,3,2,3,2.43,16.07,5.93,6.36,10.71,0,2,-2,-4,-2,20,11,0.79,12.14,4.0,4.71,10.14,0,4,2,2,-2,-2,0,0,0
711,Crystal Palace,Liverpool,1,2,2,11,21,1.0,11.38,3.77,5.15,11.23,0,4,3,4,4,1,6,2.79,17.86,7.21,5.36,11.21,0,2,-1,-1,1,1,3,3,0
712,Man United,Hull,1,1,-1,9,1,1.4,13.27,4.4,6.47,10.47,0,2,-1,-1,-1,15,14,0.86,11.64,2.93,3.93,10.86,0,0,0,0,0,0,3,1,1
713,Man City,Aston Villa,2,2,2,4,4,2.42,17.83,5.25,7.5,10.0,0,6,-1,0,1,13,10,1.15,11.85,4.08,4.77,12.08,0,2,3,3,-3,-3,4,0,1
